"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 10 02:27:54 UTC 2023","Tue Oct 10 02:28:05 UTC 2023","10849","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Tue Oct 10 03:22:37 UTC 2023","Tue Oct 10 03:22:50 UTC 2023","12754","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Tue Oct 10 04:06:47 UTC 2023","Tue Oct 10 04:06:56 UTC 2023","9347","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Tue Oct 10 02:21:24 UTC 2023","Tue Oct 10 02:21:49 UTC 2023","24519","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Tue Oct 10 03:23:11 UTC 2023","Tue Oct 10 03:23:13 UTC 2023","2262","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Oct 10 03:50:51 UTC 2023","Tue Oct 10 03:50:53 UTC 2023","2090","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Tue Oct 10 02:22:17 UTC 2023","Tue Oct 10 02:22:22 UTC 2023","4515","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Tue Oct 10 02:20:50 UTC 2023","Tue Oct 10 02:21:14 UTC 2023","23816","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Tue Oct 10 04:20:06 UTC 2023","Tue Oct 10 04:20:10 UTC 2023","3989","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Tue Oct 10 04:26:26 UTC 2023","Tue Oct 10 04:26:31 UTC 2023","4539","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Tue Oct 10 03:58:38 UTC 2023","Tue Oct 10 03:58:41 UTC 2023","2793","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Tue Oct 10 03:22:50 UTC 2023","Tue Oct 10 03:22:54 UTC 2023","4428","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Oct 10 03:21:56 UTC 2023","Tue Oct 10 03:22:14 UTC 2023","17645","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
